,MODEL_NAME,DT_MEASURE,dt_workday,rod_dia1_diam,rod_dia1_cirlty,rod_dia1_perp,rod_dia1_cylcty,rod_dia2_y,rod_dia2_x,rod_dia2_diam,rod_dia2_dist,rod_bhpl_y,rod_bhpl_z,rod_bhpl_diam,rod_bhpr_z,rod_bhpr_diam,rod_bhpr_y,rod_bhpr_dist,rod_lr_symm,rod_cap_hl,rod_cap_hr,rod_phpl_y1,rod_phpl_z1,rod_phpl_y2,rod_phpl_z2,rod_phpl_diam,rod_phpr_y1,rod_phpr_z1,rod_phpr_y2,rod_phpr_z2,rod_phpr_diam,cap_dia2_y,cap_dia2_z,cap_dia2_x,cap_dia2_diam,cap_bhpr_y,cap_bhpr_z,cap_bhpr_diam,cap_bhpr_perp,cap_bhpl_z,cap_bhpl_y,cap_bhpl_diam,cap_bhpl_perp,cap_lr_symm,cap_phpr_y1,cap_phpr_z1,cap_phpr_y2,cap_phpr_z2,cap_phpr_diam,cap_phpl_y1,cap_phpl_z1,cap_phpl_y2,cap_phpl_z2,cap_phpl_diam,cap_rod_hl,cap_rod_hr,test_result
0,303,2022-05-02 08:44:00,2022-05-02 00:00:00,54.0144,0.0017,0.0038,0.0017,67.4711,210.6488,89.3185,274.9825,12.4616,-21.3414,14.6255,-21.3427,14.6348,0.0,109.9911,0.014,0.0,0.0,10.9981,28.0212,1.4635,14.1755,5.995,111.5103,-7.4957,0.0557,13.847,5.9964,-67.506,0,38.3871,89.2853,-12.4623,-21.5664,16.5297,0.0225,110.0081,-21.4724,16.5303,0.0212,0.0397,-10.9515,28.0066,1.5108,13.9549,5.9938,111.521,-7.5147,0.0021,13.9577,5.9963,38.426,38.4352,NG
1,303,2022-05-02 08:55:00,2022-05-02 00:00:00,54.0023,0.0302,0.0017,0.0347,67.5057,210.5967,89.3002,274.9144,12.5571,-21.3845,14.6278,-21.3986,14.6332,0.0,110.0118,0.0574,0.0,0.0,10.9598,28.0206,1.5973,14.0911,5.9909,111.5217,-7.4551,0.0875,13.9436,5.9949,-67.491,0,38.3437,89.2803,-12.4733,-21.5156,16.5295,0.04,110.0087,-21.4688,16.5311,0.0582,0.0133,-10.9782,28.0154,1.4951,13.9864,5.9966,111.5193,-7.4866,0.0155,13.9823,5.9941,38.6194,38.4417,NG
2,303,2022-05-02 09:06:00,2022-05-02 00:00:00,54.005,0.0369,0.0029,0.0369,67.4908,210.6859,89.3078,275.0309,12.5384,-21.4357,14.6247,-21.4614,14.6336,0.0,109.9849,0.04,0.0,0.0,10.9762,27.9869,1.5622,14.0623,5.9945,111.5297,-7.5111,0.0174,13.9503,5.9931,-67.4911,0,38.3861,89.282,-12.4569,-21.5018,16.5278,0.0224,110.0167,-21.4575,16.5314,0.0256,0.0258,-10.9644,27.9986,1.4925,13.9747,5.9953,111.5094,-7.4779,0.0001,13.9796,5.9962,38.4008,38.4517,NG
3,303,2022-05-02 09:14:00,2022-05-02 00:00:00,54.0054,0.0348,0.0048,0.0363,67.4956,210.6205,89.3111,274.9455,12.5875,-21.4465,14.6234,-21.4444,14.6297,0.0,109.9718,0.0778,0.0,0.0,11.0011,28.0029,1.5864,14.072,5.9954,111.5375,-7.5156,0.0207,13.9287,5.9949,-67.5845,0,38.4363,89.2897,-12.4744,-21.5374,16.5284,0.0172,109.9914,-21.4778,16.528,0.0271,0.1144,-10.9547,27.991,1.5197,13.9731,5.9951,111.5142,-7.5195,0.0031,13.9582,5.9954,38.3634,38.4195,NG
4,303,2022-05-02 11:16:00,2022-05-02 00:00:00,54.0077,0.0337,0.0023,0.0344,67.4646,210.6936,89.299,275.041,12.5534,-21.4146,14.6288,-21.4497,14.6369,0.0,109.9767,0.0771,0.0,0.0,10.9733,28.01,1.5801,14.0814,5.9959,111.5222,-7.486,0.0346,13.9637,5.9911,-67.4966,0,38.3657,89.2767,-12.4798,-21.5281,16.5234,0.014,109.9816,-21.456,16.5253,0.0212,0.0261,-10.9581,28.0084,1.5217,13.9694,5.9965,111.5218,-7.4891,0.0185,13.9669,5.9961,38.4433,38.4895,NG
5,303,2022-05-02 11:21:00,2022-05-02 00:00:00,54.008,0.0349,0.0018,0.035,67.4879,210.6239,89.3026,274.9499,12.5893,-21.4367,14.6399,-21.4407,14.6444,0.0,109.9757,0.0892,0.0,0.0,11.002,28.0017,1.5873,14.0777,5.991,111.5129,-7.5127,0.05,13.928,5.9789,-67.5937,0,38.4255,89.292,-12.4716,-21.5493,16.5212,0.0291,109.991,-21.4869,16.5241,0.0053,0.1266,-10.9502,27.9956,1.5214,13.9705,5.9903,111.5268,-7.5241,0.0144,13.9628,5.988,38.3949,38.4492,NG
6,303,2022-05-02 13:52:00,2022-05-02 00:00:00,54.0109,0.0357,0.0025,0.0358,67.4647,210.6375,89.2986,274.9677,12.4707,-21.3544,14.66,-21.3408,14.6556,0.0,110.0061,0.0091,0.0,0.0,10.9812,27.9964,1.4895,14.1341,5.993,111.5354,-7.4922,0.0398,13.8486,5.9886,-67.5023,0,38.3729,89.2815,-12.4773,-21.5636,16.5225,0.0115,110.0052,-21.509,16.5207,0.0255,0.0224,-10.9624,27.9975,1.515,13.9758,5.9854,111.499,-7.5419,0.0212,13.9671,6.0014,38.4499,38.4551,NG
7,303,2022-05-02 14:19:00,2022-05-02 00:00:00,54.0107,0.0361,0.0011,0.0364,67.5093,210.6029,89.2975,274.9226,12.5871,-21.3913,14.6579,-21.4305,14.6715,0.0,109.993,0.0743,0.0,0.0,10.9823,27.9859,1.6048,14.0822,5.9852,111.4999,-7.4875,0.0979,13.9429,5.9855,-67.493,0,38.3439,89.2849,-12.4945,-21.5565,16.523,0.0598,109.9966,-21.4727,16.521,0.0659,0.0002,-10.9978,27.9985,1.4967,13.955,5.9896,111.5006,-7.513,0.0073,13.9597,5.9973,38.6432,38.4635,NG
8,303,2022-05-02 15:06:00,2022-05-02 00:00:00,54.0101,0.0341,0.0039,0.0362,67.479,210.7043,89.3081,275.0549,12.5517,-21.4423,14.6587,-21.4375,14.6636,0.0,109.9918,0.0687,0.0,0.0,10.9643,27.995,1.5874,14.0337,5.9857,111.5244,-7.481,0.0548,13.9565,5.9842,-67.5443,0,38.3649,89.3014,-12.5179,-21.5227,16.5134,0.0018,110.0111,-21.4584,16.5175,0.0169,0.0209,-10.9989,28.0161,1.519,13.981,5.983,111.5286,-7.4875,0.0015,13.9708,5.986,38.4199,38.4484,NG
9,303,2022-05-02 15:27:00,2022-05-02 00:00:00,54.0061,0.0316,0.0015,0.0326,67.5067,210.6224,89.3003,274.948,12.6281,-21.4565,14.6601,-21.4321,14.6559,0.0,109.9837,0.1133,0.0,0.0,11.0128,28.0045,1.6153,14.042,5.9855,111.53,-7.4939,0.0691,13.9381,5.9821,-67.6042,0,38.4166,89.2817,-12.4891,-21.5468,16.516,0.0246,110.0038,-21.4881,16.5178,0.0331,0.1132,-10.9697,27.9923,1.5195,13.977,5.9874,111.5359,-7.5315,0.0127,13.9566,5.9847,38.388,38.4388,NG
